iter	Logloss
0	0.6680814146
1	0.6401042551
2	0.6147854585
3	0.5917702492
4	0.5714250498
5	0.5513699334
6	0.5329441724
7	0.5141860657
8	0.4943447211
9	0.4796665441
10	0.4652169923
11	0.4521823179
12	0.4409203907
13	0.427148093
14	0.4180561785
15	0.4066512073
16	0.3966386688
17	0.3866444121
18	0.3758612925
19	0.3653838826
20	0.3559406584
21	0.3481742782
22	0.341416511
23	0.336181668
24	0.3305656099
25	0.3233385798
26	0.3178899186
27	0.3117941655
28	0.3061239368
29	0.2999339914
30	0.2968796865
31	0.2920873255
32	0.2889662773
33	0.2848405199
34	0.2812924889
35	0.2769424738
36	0.2728313084
37	0.2700129397
38	0.2664768569
39	0.2635883366
40	0.2603458205
41	0.258233573
42	0.2551658032
43	0.2522360662
44	0.2502581042
45	0.2481673163
46	0.2459546251
47	0.2435861863
48	0.2415003389
49	0.2397613518
50	0.2383747471
51	0.2364572522
52	0.2342891213
53	0.232674246
54	0.2310545771
55	0.2291817334
56	0.2272022574
57	0.225643238
58	0.2238166353
59	0.2222613103
60	0.2205652251
61	0.2193026078
62	0.218517587
63	0.2170859512
64	0.216002053
65	0.2146229459
66	0.2134915662
67	0.2119791606
68	0.2105616641
69	0.2091073555
70	0.20782065
71	0.2066814197
72	0.2056224053
73	0.2044808526
74	0.2034126718
75	0.2027927492
76	0.2019339281
77	0.2009680411
78	0.1999738908
79	0.1988867461
80	0.1982417464
81	0.1971862853
82	0.1962223651
83	0.1953748111
84	0.1945071189
85	0.1934012146
86	0.1925130968
87	0.191530342
88	0.1909165543
89	0.1901917192
90	0.1892716853
91	0.1882672795
92	0.187384625
93	0.186793327
94	0.1860635641
95	0.18530609
96	0.184771055
97	0.1842093279
98	0.1836007142
99	0.1829132749
100	0.1822063824
101	0.1815089836
102	0.1809719505
103	0.1803467636
104	0.1798473153
105	0.1792732281
106	0.1786791629
107	0.1780697635
108	0.1774597071
109	0.1766962124
110	0.1761409154
111	0.1756259707
112	0.1750286408
113	0.1743902333
114	0.1739287819
115	0.1734280475
116	0.172873022
117	0.1723688198
118	0.1718709663
119	0.1714128417
120	0.1709333527
121	0.1704234256
122	0.1698090465
123	0.169412221
124	0.1689777718
125	0.1684576677
126	0.1679789215
127	0.1675084999
128	0.1670351157
129	0.1664792406
130	0.1659621314
131	0.1655083078
132	0.1651095354
133	0.1645981121
134	0.1641371452
135	0.1637203554
136	0.1632821763
137	0.1629046657
138	0.1625053272
139	0.1620889863
140	0.1617048878
141	0.1613073582
142	0.1609853592
143	0.1604932181
144	0.1601761903
145	0.1597225891
146	0.1594059099
147	0.1590378597
148	0.1587220255
149	0.1583727243
150	0.1578987767
151	0.1575294752
152	0.1571502061
153	0.156893219
154	0.1565279072
155	0.1561130563
156	0.1557543643
157	0.1554816656
158	0.1550822545
159	0.154771053
160	0.1543548541
161	0.1540420602
162	0.1537048314
163	0.153336457
164	0.1530123693
165	0.1526127886
166	0.1522384469
167	0.1519033442
168	0.1515793608
169	0.1512971871
170	0.1509708543
171	0.1506424518
172	0.1503071387
173	0.1500248577
174	0.1497187493
175	0.1493663034
176	0.1490334853
177	0.1486836812
178	0.1483623018
179	0.1480189336
180	0.1477017292
181	0.1474161169
182	0.1471527492
183	0.1469133114
184	0.1466408907
185	0.1463649323
186	0.146103575
187	0.1456881887
188	0.1453861376
189	0.145104101
190	0.1447427336
191	0.1444923258
192	0.1442707756
193	0.1439338695
194	0.1436584732
195	0.1434138186
196	0.1431918794
197	0.1429411277
198	0.1426731608
199	0.1423331132
200	0.1421191271
201	0.1418286274
202	0.141595346
203	0.141373474
204	0.1410813495
205	0.1408619174
206	0.1405903103
207	0.140364318
208	0.1401839897
209	0.1399592725
210	0.1396709988
211	0.1394277018
212	0.1392314765
213	0.1390220113
214	0.1388039709
215	0.1386732705
216	0.1384156148
217	0.138216957
218	0.1379998948
219	0.137725747
220	0.1374983016
221	0.1372202465
222	0.1370065276
223	0.1367894814
224	0.1365633648
225	0.1363626129
226	0.1360648484
227	0.1358796453
228	0.1356797172
229	0.1354740288
230	0.1352314485
231	0.1349461712
232	0.1347401377
233	0.1345735156
234	0.1343721944
235	0.1341597993
236	0.1339759687
237	0.1337589398
238	0.1335555464
239	0.1332988398
240	0.1330721897
241	0.1328767547
242	0.1327256093
243	0.1324519732
244	0.1322984057
245	0.1320722376
246	0.13191885
247	0.1317366465
248	0.1314806858
249	0.1312341886
250	0.13106746
251	0.1308602288
252	0.1306435342
253	0.1303690291
254	0.1302564408
255	0.130076256
256	0.1299076377
257	0.1297340473
258	0.1295707343
259	0.1294092888
260	0.1292497413
261	0.1289970164
262	0.1287873379
263	0.1286117055
264	0.128478798
265	0.1282954436
266	0.1280665289
267	0.1278754925
268	0.1277140781
269	0.1275172133
270	0.1273111252
271	0.1271738865
272	0.1270457761
273	0.1268388109
274	0.126675876
275	0.1265213721
276	0.1263386305
277	0.126148615
278	0.1259039167
279	0.1257130467
280	0.1255464041
281	0.1253161216
282	0.1251572527
283	0.1250003029
284	0.1247789397
285	0.124581269
286	0.1243971833
287	0.1242321591
288	0.1240997331
289	0.1239382086
290	0.1237680182
291	0.1236039497
292	0.1233894218
293	0.1232673228
294	0.1231197215
295	0.1229601254
296	0.1228263622
297	0.122609734
298	0.1224385759
299	0.1222829945
300	0.1220558475
301	0.1219207939
302	0.1218184965
303	0.1216346572
304	0.1215056891
305	0.1212811195
306	0.121138495
307	0.1210176376
308	0.1208855798
309	0.120763
310	0.1205997767
311	0.120362737
312	0.120237517
313	0.1200742581
314	0.1198882116
315	0.1197424198
316	0.1196253821
317	0.1194232927
318	0.119292657
319	0.1191372113
320	0.1189935854
321	0.1188217435
322	0.118669938
323	0.1185425903
324	0.1184007459
325	0.1182933204
326	0.1181680324
327	0.118062555
328	0.1178795942
329	0.1177750252
330	0.1175949688
331	0.117450254
332	0.1173133128
333	0.1171807786
334	0.1169950434
335	0.1168413171
336	0.1166731114
337	0.1165289386
338	0.1163636695
339	0.1162255097
340	0.1160465217
341	0.1159480107
342	0.1157907299
343	0.1156826315
344	0.1155186691
345	0.1153609936
346	0.115262414
347	0.1150652383
348	0.1149398659
349	0.1147992824
350	0.1146664041
351	0.1145200276
352	0.1143732
353	0.114247669
354	0.1141081988
355	0.1139910749
356	0.1138428504
357	0.1137944418
358	0.1136919547
359	0.1135273672
360	0.1133740464
361	0.1132271527
362	0.1130937994
363	0.1129453573
364	0.1127585205
365	0.112669632
366	0.1125734071
367	0.1124257685
368	0.112242937
369	0.1121242555
370	0.112056606
371	0.1119263285
372	0.1117986415
373	0.1116871776
374	0.111478912
375	0.1113755541
376	0.1112942557
377	0.1111702739
378	0.1110101671
379	0.1108955451
380	0.1107929204
381	0.1106513156
382	0.1105358632
383	0.1103525156
384	0.1102199628
385	0.1100763885
386	0.109985871
387	0.1099294793
388	0.1097733482
389	0.1096436096
390	0.1095282829
391	0.1094034231
392	0.1092734609
393	0.1091396681
394	0.1090258399
395	0.1089292607
396	0.1088313857
397	0.1087332514
398	0.1085895647
399	0.1084934251
400	0.1083311941
401	0.1082240111
402	0.1081059673
403	0.1079937826
404	0.107906883
405	0.1077412007
406	0.1076536221
407	0.1075403251
408	0.1074342791
409	0.1073067113
410	0.1071934289
411	0.1071324216
412	0.1070088883
413	0.1068917775
414	0.1067379206
415	0.1066118244
416	0.1065080742
417	0.1063826512
418	0.1062685893
419	0.1061467477
420	0.1060128427
421	0.1058880632
422	0.1058175176
423	0.1057190423
424	0.1055827039
425	0.1054752571
426	0.1053727234
427	0.1052428367
428	0.105116967
429	0.105013228
430	0.1048824988
431	0.1047631618
432	0.1047102779
433	0.1046288063
434	0.1045305042
435	0.1044299948
436	0.1043258601
437	0.1042572798
438	0.1041140274
439	0.103982452
440	0.1038572484
441	0.103779338
442	0.1037197613
443	0.1035987176
444	0.1035164044
445	0.1033740849
446	0.1032491867
447	0.1031469899
448	0.1030299997
449	0.1029473729
450	0.1028525601
451	0.1027465063
452	0.1025630335
453	0.1024366959
454	0.1023441911
455	0.102215567
456	0.1021118893
457	0.1020191662
458	0.1018877016
459	0.1017742721
460	0.1016437937
461	0.1015468279
462	0.1015117912
463	0.1013852154
464	0.1012585063
465	0.1011473025
466	0.1010114632
467	0.1008783564
468	0.1008679843
469	0.100735093
470	0.1006202349
471	0.1005181349
472	0.1004675206
473	0.1003545364
474	0.1002319965
475	0.1001013486
476	0.09996779591
477	0.09987869666
478	0.09976177252
479	0.09963009031
480	0.09953597516
481	0.09941366991
482	0.09929036862
483	0.09917756966
484	0.09910551121
485	0.09901215214
486	0.09891201225
487	0.09879575458
488	0.09869245539
489	0.09856982351
490	0.09845696734
491	0.09835014291
492	0.09823393964
493	0.09808696612
494	0.09797030933
495	0.09785697864
496	0.09777108709
497	0.0976841373
498	0.09754139561
499	0.09744798119
500	0.09731605355
501	0.09724366791
502	0.09712396629
503	0.09699967421
504	0.09688242619
505	0.09676699498
506	0.09665331459
507	0.09657013756
508	0.09647720982
509	0.09638646515
510	0.09631062961
511	0.09618695687
512	0.09612744273
513	0.09604147382
514	0.09594112685
515	0.09590434814
516	0.09582856698
517	0.09573015115
518	0.0956438825
519	0.09555533181
520	0.09548612988
521	0.09537421041
522	0.09526014046
523	0.09513560511
524	0.09504442776
525	0.09496220117
526	0.09486275007
527	0.09472824673
528	0.09463092275
529	0.09451697897
530	0.09439790237
531	0.0942845031
532	0.09416862797
533	0.09408124402
534	0.09401316308
535	0.09390404582
536	0.09379424957
537	0.09369316535
538	0.09361774107
539	0.09352030651
540	0.09341565543
541	0.09333375717
542	0.0932311868
543	0.09313354455
544	0.09303836244
545	0.09293723568
546	0.09286994292
547	0.09280892043
548	0.09271562431
549	0.09261551963
550	0.09252056597
551	0.09243848304
552	0.09229257527
553	0.09220883273
554	0.09214418141
555	0.09204647374
556	0.09195650624
557	0.09185152182
558	0.09177559127
559	0.09168037577
560	0.09157488648
561	0.09147845908
562	0.09137161897
563	0.09133181594
564	0.09123125117
565	0.0911447053
566	0.09102920738
567	0.09096188619
568	0.09086563992
569	0.09073575547
570	0.09067810009
571	0.09056042586
572	0.09039787828
573	0.09032682085
574	0.0901989169
575	0.09010569239
576	0.09001846221
577	0.08991530476
578	0.08982410846
579	0.08976942222
580	0.08966406192
581	0.08958861062
582	0.08949454656
583	0.08941064462
584	0.08932356614
585	0.08921909763
586	0.08912245073
587	0.08901943888
588	0.0889345249
589	0.08884458847
590	0.08875944872
591	0.08869284034
592	0.0886013713
593	0.08852676259
594	0.08840787016
595	0.08831720245
596	0.08825114263
597	0.08816476507
598	0.08806505832
599	0.08798923795
600	0.08785244091
601	0.08773283391
602	0.08761990092
603	0.08750511407
604	0.08738760002
605	0.08730038378
606	0.08721426312
607	0.08712934938
608	0.08703741918
609	0.08696335289
610	0.08685362261
611	0.08675490865
612	0.08666810317
613	0.08658440946
614	0.08650350647
615	0.08640547853
616	0.08632568811
617	0.0862088224
618	0.08610331293
619	0.08601087327
620	0.08591461399
621	0.08581512972
622	0.08573652787
623	0.08562620902
624	0.08554023453
625	0.08546430124
626	0.0853606185
627	0.08525658322
628	0.08515653671
629	0.08506603444
630	0.08499068421
631	0.08491150325
632	0.08482603191
633	0.08474177468
634	0.08465174529
635	0.08452783787
636	0.08442588891
637	0.08431077746
638	0.08421137065
639	0.08413329277
640	0.08405777014
641	0.08399213184
642	0.08392473195
643	0.08387132079
644	0.08379372689
645	0.0836754063
646	0.08359479687
647	0.0835064554
648	0.08341923388
649	0.08333027307
650	0.08327358629
651	0.08319419373
652	0.08308994793
653	0.08300001722
654	0.08292978794
655	0.08285143773
656	0.0827607074
657	0.08268709208
658	0.08262419132
659	0.08254006156
660	0.08247858005
661	0.08237765438
662	0.08232193457
663	0.08223918379
664	0.08218779891
665	0.08209950596
666	0.0820161924
667	0.08193134998
668	0.08185517238
669	0.08176041696
670	0.08165986608
671	0.08156927564
672	0.08147282838
673	0.08137969182
674	0.08131923329
675	0.08122480646
676	0.08114178645
677	0.08105094441
678	0.08097677843
679	0.08089349128
680	0.08078863479
681	0.08071746766
682	0.08063055962
683	0.08054179217
684	0.08046400936
685	0.08039167087
686	0.08030119427
687	0.08021288491
688	0.08012511133
689	0.0800601549
690	0.07997760573
691	0.0799100258
692	0.07983612402
693	0.0797650117
694	0.07968605113
695	0.07959563735
696	0.07950998207
697	0.07943818978
698	0.07936812296
699	0.07928743416
700	0.07921157237
701	0.07914570628
702	0.07907143639
703	0.07901112281
704	0.07892253099
705	0.07883863085
706	0.07876258541
707	0.07866550686
708	0.0785936512
709	0.07850262396
710	0.0784266525
711	0.07832869274
712	0.07823874542
713	0.07815738341
714	0.07806819459
715	0.07800960311
716	0.07792564077
717	0.07782678115
718	0.07776688304
719	0.07768869233
720	0.07760659727
721	0.07752978265
722	0.07745899267
723	0.07739417392
724	0.07731520621
725	0.07724823999
726	0.07717447886
727	0.07707789261
728	0.07701227238
729	0.07694632898
730	0.07688168256
731	0.07681069643
732	0.0767316913
733	0.07665289792
734	0.0765872243
735	0.07651580047
736	0.07642838116
737	0.07633250356
738	0.07625599655
739	0.07619283774
740	0.0761122711
741	0.07604008852
742	0.07597134486
743	0.0758996473
744	0.0758415989
745	0.07577872778
746	0.07571530781
747	0.07564282765
748	0.07556334478
749	0.07550685958
750	0.07543347289
751	0.07534539819
752	0.07527145844
753	0.07519080256
754	0.07511029961
755	0.07505811597
756	0.07499474556
757	0.07493459265
758	0.07486777321
759	0.07480496808
760	0.07472214352
761	0.07463954623
762	0.07457670607
763	0.07451428408
764	0.07443870571
765	0.07437499071
766	0.07429647891
767	0.0742254773
768	0.07416274406
769	0.07408524656
770	0.07402013157
771	0.07394237667
772	0.07387367141
773	0.0738031465
774	0.07372437937
775	0.07367932819
776	0.07361338411
777	0.07353652814
778	0.07344900658
779	0.07340146743
780	0.07332699097
781	0.07325724637
782	0.07319267586
783	0.07313066968
784	0.07305237621
785	0.07297168196
786	0.07291035306
787	0.07284636166
788	0.07276029965
789	0.07270409606
790	0.07262925274
791	0.07255907157
792	0.07248327007
793	0.07243498551
794	0.07237598591
795	0.07231403302
796	0.07224619382
797	0.07219189659
798	0.07213936952
799	0.07207487174
800	0.07200883872
801	0.07194932902
802	0.07185667834
803	0.07179119845
804	0.07170637574
805	0.07164854309
806	0.07157425557
807	0.07151319806
808	0.07145769074
809	0.07137940883
810	0.07131486615
811	0.0712516591
812	0.07119538934
813	0.07113364264
814	0.07106914552
815	0.07099363854
816	0.07092491299
817	0.07085542373
818	0.07079557595
819	0.07073814758
820	0.07066343241
821	0.07059689573
822	0.0705438702
823	0.07047858408
824	0.07041472865
825	0.07034183635
826	0.07027177457
827	0.07020242554
828	0.07015044799
829	0.07008300982
830	0.07000721992
831	0.06994767177
832	0.06990547344
833	0.06983390392
834	0.06978238339
835	0.06972414754
836	0.06965950131
837	0.06959699695
838	0.06953575711
839	0.06949070699
840	0.06943595914
841	0.06937505997
842	0.06931175992
843	0.0692595922
844	0.06919576847
845	0.06914175837
846	0.06909199441
847	0.06903671964
848	0.06897997331
849	0.06887750652
850	0.06882162781
851	0.06877089761
852	0.06870022811
853	0.0686228083
854	0.06855435665
855	0.06850850118
856	0.06844072987
857	0.06837954322
858	0.06832343285
859	0.06825922121
860	0.06818848587
861	0.06812613249
862	0.06807253756
863	0.06800276196
864	0.06794715606
865	0.06786029985
866	0.06781518786
867	0.06776537263
868	0.06769492542
869	0.06762242771
870	0.06758061637
871	0.06752689977
872	0.06746609726
873	0.06741862207
874	0.06737160973
875	0.06732757355
876	0.06726183145
877	0.06720301279
878	0.06715094505
879	0.06708120639
880	0.06704809104
881	0.06699057273
882	0.06693375717
883	0.06687395419
884	0.06682095653
885	0.06677781193
886	0.06670211699
887	0.06663992889
888	0.06658634406
889	0.06651520388
890	0.06646125044
891	0.06640319965
892	0.06633496206
893	0.06625988011
894	0.06620909611
895	0.06615116512
896	0.06610982768
897	0.06605886015
898	0.06600037042
899	0.06596078915
900	0.0658936256
901	0.06581754578
902	0.0657844998
903	0.06572139235
904	0.06566594122
905	0.06562300152
906	0.06556102638
907	0.06550990176
908	0.06546570352
909	0.06540650502
910	0.06532411246
911	0.06527014339
912	0.06520609002
913	0.06513741152
914	0.06506666087
915	0.06502111601
916	0.06496640741
917	0.06490689678
918	0.06484369394
919	0.06480510161
920	0.06475269422
921	0.06469791941
922	0.06465002206
923	0.06459998274
924	0.06456652672
925	0.06453217052
926	0.06446702018
927	0.06441774343
928	0.06436683572
929	0.06431132011
930	0.06424377565
931	0.06420955387
932	0.06415213174
933	0.06410756211
934	0.0640449382
935	0.06399100152
936	0.06392412116
937	0.0638622648
938	0.06381380246
939	0.06375692872
940	0.06370734617
941	0.0636415639
942	0.06359767659
943	0.0635505756
944	0.06349654595
945	0.06344933206
946	0.0633976125
947	0.06334164416
948	0.06328581268
949	0.06323261765
950	0.06317116775
951	0.06312469688
952	0.06308292274
953	0.06304400026
954	0.06298722465
955	0.06294108461
956	0.06288900973
957	0.06283459196
958	0.06279685304
959	0.06275319774
960	0.06269645346
961	0.06264438306
962	0.06257711995
963	0.06252698339
964	0.06246180257
965	0.0624199033
966	0.06236598643
967	0.06230583041
968	0.06225509103
969	0.0622068047
970	0.06214284758
971	0.06207874665
972	0.0620320052
973	0.06195406032
974	0.06191061241
975	0.06184725248
976	0.06179230454
977	0.06176050183
978	0.06169172228
979	0.06163873248
980	0.06160834374
981	0.06156566694
982	0.06151097709
983	0.06146980827
984	0.06142293918
985	0.06139768038
986	0.06136390032
987	0.06128791822
988	0.06125504692
989	0.06120595333
990	0.06115966605
991	0.06111740294
992	0.06108438758
993	0.06103531369
994	0.06099170989
995	0.06094440052
996	0.06089108517
997	0.06084966554
998	0.06081065747
999	0.06075584388
1000	0.06071078574
1001	0.06067265204
1002	0.06061208795
1003	0.06054757662
1004	0.06047523364
1005	0.06042535919
1006	0.06035900884
1007	0.06030714208
1008	0.06026856576
1009	0.06022805166
1010	0.06016273339
1011	0.06009303761
1012	0.06004960146
1013	0.06000007859
1014	0.05994910113
1015	0.05991431677
1016	0.05988032464
1017	0.05982666302
1018	0.05978471399
1019	0.05973353245
1020	0.05969297031
1021	0.05964742493
1022	0.05960248515
1023	0.05955737494
1024	0.05950653553
1025	0.05945018103
1026	0.05940204273
1027	0.05936073812
1028	0.05931697894
1029	0.05925722342
1030	0.0592077727
1031	0.05917277999
1032	0.05914911565
1033	0.0591141743
1034	0.05905631282
1035	0.0590191585
1036	0.05897130883
1037	0.05894726883
1038	0.05890734329
1039	0.05885529133
1040	0.05881674015
1041	0.05876043291
1042	0.05871277559
1043	0.05865364251
1044	0.05859846954
1045	0.05855353537
1046	0.0585172942
1047	0.0584714183
1048	0.05842883726
1049	0.05839004658
1050	0.0583560036
1051	0.05830899809
1052	0.05825116629
1053	0.05819684151
1054	0.05814575037
1055	0.05809887707
1056	0.05804160115
1057	0.05798132796
1058	0.05792690207
1059	0.05789155323
1060	0.05784736236
1061	0.05780036836
1062	0.05774402087
1063	0.05768368889
1064	0.05762258579
1065	0.05757870384
1066	0.05753810029
1067	0.05751064582
1068	0.0574606438
1069	0.05743138748
1070	0.05739786337
1071	0.05733674487
1072	0.05730221983
1073	0.05725976296
1074	0.05721891419
1075	0.05718170901
1076	0.05714407996
1077	0.05710792199
1078	0.05706734918
