iter	Passed	Remaining
0	32	96676
1	40	60443
2	53	53004
3	74	56153
4	93	56161
5	107	53694
6	121	52053
7	139	52268
8	148	49259
9	156	46690
10	164	44579
11	172	42860
12	179	41350
13	188	40143
14	196	39045
15	204	38103
16	212	37271
17	220	36521
18	228	35815
19	236	35218
20	244	34653
21	252	34148
22	260	33731
23	268	33344
24	277	32997
25	285	32669
26	293	32340
27	302	32057
28	310	31781
29	318	31499
30	325	31188
31	334	31049
32	343	30854
33	351	30637
34	359	30431
35	367	30267
36	375	30100
37	384	29933
38	392	29778
39	400	29618
40	407	29438
41	415	29264
42	424	29159
43	432	29061
44	440	28946
45	448	28813
46	457	28729
47	466	28672
48	474	28568
49	483	28510
50	491	28439
51	500	28380
52	509	28303
53	517	28214
54	525	28152
55	534	28112
56	543	28040
57	551	27968
58	559	27888
59	567	27819
60	575	27734
61	583	27648
62	591	27591
63	600	27545
64	607	27452
65	616	27428
66	626	27412
67	635	27388
68	645	27413
69	655	27427
70	664	27402
71	673	27381
72	681	27327
73	689	27251
74	697	27220
75	706	27168
76	714	27128
77	722	27081
78	731	27052
79	740	27036
80	749	27006
81	758	26981
82	766	26955
83	776	26944
84	785	26921
85	794	26905
86	803	26889
87	811	26868
88	820	26826
89	828	26789
90	836	26746
91	844	26687
92	852	26650
93	860	26611
94	869	26583
95	877	26539
96	885	26491
97	892	26439
98	901	26407
99	909	26368
100	916	26319
101	924	26266
102	932	26215
103	939	26175
104	947	26121
105	955	26082
106	963	26039
107	970	25996
108	978	25955
109	985	25896
110	993	25857
111	1001	25826
112	1010	25805
113	1018	25778
114	1026	25756
115	1034	25722
116	1042	25699
117	1051	25672
118	1059	25649
119	1067	25621
120	1075	25599
121	1083	25560
122	1091	25532
123	1099	25500
124	1107	25463
125	1114	25430
126	1123	25404
127	1130	25364
128	1137	25319
129	1144	25269
130	1152	25231
131	1159	25190
132	1167	25156
133	1174	25113
134	1181	25080
135	1188	25033
136	1196	24994
137	1203	24956
138	1210	24913
139	1218	24883
140	1226	24860
141	1234	24837
142	1241	24812
143	1249	24783
144	1256	24747
145	1264	24713
146	1271	24683
147	1279	24652
148	1286	24623
149	1294	24596
150	1303	24585
151	1319	24728
152	1334	24825
153	1349	24939
154	1362	25006
155	1370	24983
156	1378	24966
157	1386	24947
158	1402	25050
159	1419	25190
160	1427	25175
161	1435	25153
162	1443	25129
163	1451	25105
164	1459	25085
165	1467	25055
166	1475	25028
167	1483	25000
168	1490	24973
169	1498	24951
170	1506	24930
171	1514	24906
172	1523	24900
173	1531	24877
174	1540	24871
175	1548	24852
176	1557	24833
177	1565	24814
178	1573	24794
179	1581	24776
180	1590	24765
181	1598	24749
182	1606	24728
183	1614	24713
184	1622	24686
185	1630	24665
186	1638	24645
187	1646	24622
188	1654	24600
189	1662	24584
190	1670	24563
191	1678	24548
192	1686	24521
193	1693	24500
194	1701	24473
195	1709	24453
196	1716	24425
197	1724	24399
198	1731	24377
199	1740	24360
200	1748	24342
201	1755	24322
202	1763	24293
203	1770	24269
204	1778	24247
205	1786	24232
206	1794	24213
207	1802	24194
208	1810	24174
209	1818	24154
210	1826	24138
211	1833	24116
212	1842	24104
213	1850	24091
214	1858	24078
215	1867	24071
216	1877	24074
217	1886	24070
218	1894	24058
219	1902	24045
220	1912	24046
221	1920	24031
222	1927	24008
223	1935	23988
224	1943	23964
225	1950	23946
226	1958	23929
227	1966	23908
228	1974	23890
229	1981	23867
230	1989	23843
231	1996	23821
232	2003	23797
233	2011	23778
234	2019	23763
235	2027	23749
236	2036	23736
237	2043	23719
238	2052	23713
239	2060	23691
240	2068	23675
241	2075	23654
242	2083	23633
243	2090	23616
244	2098	23602
245	2106	23577
246	2113	23558
247	2121	23541
248	2128	23519
249	2135	23495
250	2143	23474
251	2150	23453
252	2158	23439
253	2166	23417
254	2173	23401
255	2181	23381
256	2188	23361
257	2196	23343
258	2204	23327
259	2211	23308
260	2219	23288
261	2226	23265
262	2233	23245
263	2240	23224
264	2247	23200
265	2254	23176
266	2262	23156
267	2269	23139
268	2277	23121
269	2284	23100
270	2291	23078
271	2299	23058
272	2305	23034
273	2314	23024
274	2321	23006
275	2328	22982
276	2335	22961
277	2342	22940
278	2350	22924
279	2358	22911
280	2366	22898
281	2374	22888
282	2382	22873
283	2389	22855
284	2397	22841
285	2405	22828
286	2413	22816
287	2421	22802
288	2428	22785
289	2436	22773
290	2444	22757
291	2452	22742
292	2459	22723
293	2466	22703
294	2473	22685
295	2481	22673
296	2489	22653
297	2496	22637
298	2503	22619
299	2511	22601
300	2518	22586
301	2532	22629
302	2547	22672
303	2562	22722
304	2576	22763
305	2584	22751
306	2592	22745
307	2615	22858
308	2624	22856
309	2632	22846
310	2641	22836
311	2649	22825
312	2657	22812
313	2664	22796
314	2672	22782
315	2680	22765
316	2688	22752
317	2695	22737
318	2704	22730
319	2712	22718
320	2720	22705
321	2728	22690
322	2736	22677
323	2744	22663
324	2752	22651
325	2759	22637
326	2767	22623
327	2775	22609
328	2783	22596
329	2791	22582
330	2799	22570
331	2807	22563
332	2815	22547
333	2823	22538
334	2831	22526
335	2839	22512
336	2846	22496
337	2855	22487
338	2863	22476
339	2871	22464
340	2879	22454
